Date,Open,High,Low,Close,Volume,MA_7_Day,MA_20_Day,MA_50_Day,Daily_Return_Pct,Volatility_7Day,Price_Range,Volume_7Day_Avg,Stock
2024-07-16,1581.79,1588.24,1557.6,1564.67,9386838,1577.79,1530.61,1471.24,-0.01,0.01,30.65,9025377.43,RELIANCE.NS
2024-07-18,1564.42,1582.19,1546.38,1575.02,12298374,1575.77,1536.97,1474.56,0.01,0.01,35.81,9425030.0,RELIANCE.NS
2024-07-19,1574.35,1578.29,1541.39,1543.72,13140390,1570.79,1541.01,1477.61,-0.02,0.01,36.9,10307942.57,RELIANCE.NS
2024-07-22,1525.96,1526.2,1488.26,1489.65,19674376,1558.94,1543.31,1479.24,-0.04,0.02,37.94,12099342.29,RELIANCE.NS
2024-07-23,1489.97,1494.69,1452.25,1476.97,18052044,1545.79,1545.62,1481.11,-0.01,0.02,42.44,12972356.29,RELIANCE.NS
2024-07-24,1474.09,1498.41,1465.55,1484.71,11913362,1531.46,1547.68,1482.86,0.01,0.01,32.86,12827867.43,RELIANCE.NS
2024-07-25,1470.12,1489.45,1466.22,1481.44,12519876,1516.6,1546.61,1484.64,-0.0,0.01,23.23,13855037.14,RELIANCE.NS
2024-07-26,1481.44,1501.31,1479.4,1497.94,9859940,1507.06,1545.54,1486.4,0.01,0.02,21.91,13922623.14,RELIANCE.NS
2024-07-29,1500.84,1516.28,1500.67,1508.93,7538550,1497.62,1543.29,1488.47,0.01,0.02,15.61,13242648.29,RELIANCE.NS
2024-07-30,1505.88,1513.8,1498.91,1502.03,8228208,1491.67,1540.96,1490.21,-0.0,0.02,14.89,12540908.0,RELIANCE.NS
2024-07-31,1492.95,1499.35,1490.12,1494.36,10057346,1492.34,1537.99,1491.59,-0.01,0.01,9.23,11167046.57,RELIANCE.NS
2024-08-01,1500.89,1506.85,1493.25,1504.17,10764222,1496.23,1536.15,1493.17,0.01,0.01,13.6,10125929.14,RELIANCE.NS
2024-08-02,1493.94,1498.24,1482.3,1488.31,10268248,1496.74,1533.44,1493.93,-0.01,0.01,15.93,9890912.86,RELIANCE.NS
2024-08-05,1469.13,1473.0,1422.72,1436.69,17046704,1490.35,1526.42,1493.16,-0.03,0.02,50.28,10537602.57,RELIANCE.NS
2024-08-06,1444.46,1466.64,1440.66,1445.35,10236186,1482.84,1519.23,1492.68,0.01,0.01,25.98,10591352.0,RELIANCE.NS
2024-08-07,1458.21,1461.68,1450.76,1454.06,8174568,1475.0,1513.01,1492.66,0.01,0.01,10.92,10682211.71,RELIANCE.NS
2024-08-08,1446.82,1454.24,1435.3,1438.48,12387192,1465.92,1506.3,1492.52,-0.01,0.01,18.93,11276352.29,RELIANCE.NS
2024-08-09,1449.27,1465.65,1445.3,1463.47,6249776,1461.5,1501.02,1493.18,0.02,0.02,20.35,10732413.71,RELIANCE.NS
2024-08-12,1459.2,1462.18,1447.04,1449.89,8184584,1453.75,1494.27,1493.89,-0.01,0.02,15.14,10363894.0,RELIANCE.NS
2024-08-13,1450.02,1459.27,1447.29,1452.87,6265064,1448.69,1487.64,1494.55,0.0,0.02,11.99,9792010.57,RELIANCE.NS
2024-08-14,1452.8,1461.19,1443.02,1451.11,6267466,1450.75,1481.96,1493.59,-0.0,0.01,18.17,8252119.43,RELIANCE.NS
2024-08-16,1457.86,1469.52,1447.34,1467.34,9416902,1453.89,1476.57,1495.19,0.01,0.01,22.19,8135078.86,RELIANCE.NS
2024-08-19,1476.6,1492.34,1474.61,1482.48,13797742,1457.95,1473.51,1496.64,0.01,0.01,17.73,8938389.43,RELIANCE.NS
2024-08-20,1491.27,1497.94,1484.1,1490.0,8411808,1465.31,1473.53,1498.02,0.01,0.01,13.84,8370477.43,RELIANCE.NS
2024-08-21,1487.31,1501.88,1484.07,1492.71,7769996,1469.49,1474.32,1498.69,0.0,0.01,17.8,8587651.71,RELIANCE.NS
2024-08-22,1497.02,1500.51,1484.72,1492.17,10445782,1475.53,1474.69,1499.32,-0.0,0.0,15.79,8910680.0,RELIANCE.NS
2024-08-23,1497.77,1505.31,1492.46,1494.01,9249654,1481.4,1475.32,1500.28,0.0,0.01,12.85,9337050.0,RELIANCE.NS
2024-08-26,1500.98,1516.94,1497.02,1506.58,8816114,1489.33,1475.75,1501.36,0.01,0.0,19.92,9701142.57,RELIANCE.NS
2024-08-27,1504.49,1507.45,1493.49,1494.48,6251156,1493.2,1475.03,1502.16,-0.01,0.01,13.97,9248893.14,RELIANCE.NS
2024-08-28,1499.01,1501.48,1487.06,1492.34,9610286,1494.61,1474.54,1502.67,-0.0,0.01,14.42,8650685.14,RELIANCE.NS
2024-08-29,1497.12,1530.89,1488.06,1514.87,38335358,1498.17,1475.57,1503.57,0.02,0.01,42.83,12925478.0,RELIANCE.NS
2024-08-30,1527.9,1533.6,1497.34,1503.62,41620730,1499.72,1475.54,1504.68,-0.01,0.01,36.26,17761297.14,RELIANCE.NS
2024-09-02,1504.86,1520.73,1500.63,1510.22,11240852,1502.3,1476.64,1505.63,0.0,0.01,20.09,17874878.57,RELIANCE.NS
2024-09-03,1515.2,1516.94,1501.5,1503.12,10923800,1503.61,1479.96,1506.82,-0.0,0.01,15.44,18114042.29,RELIANCE.NS
2024-09-04,1494.73,1511.46,1493.53,1508.53,11983304,1503.88,1483.12,1508.37,0.0,0.01,17.93,18566498.0,RELIANCE.NS
2024-09-05,1513.01,1519.71,1481.13,1487.04,16264168,1502.82,1484.77,1509.24,-0.01,0.01,38.57,19996928.29,RELIANCE.NS
2024-09-06,1486.56,1491.04,1455.81,1459.0,19394228,1498.06,1485.79,1508.37,-0.02,0.01,35.23,21394634.29,RELIANCE.NS
